event,timestamp,ufos,materialized_chunks,intended_memory_usage,apparent_memory_usage,memory_usage,disk_usage,ufo_0_memory_usage,ufo_0_disk_usage,ufo_1_memory_usage,ufo_1_disk_usage,
D,48103799,1,61,80000008,80003072,19988480,32440320,19988480,32440320,0,0,
D,48261147,1,60,80000008,80003072,19660800,32768000,19660800,32768000,0,0,
D,48296526,1,59,80000008,80003072,19333120,33095680,19333120,33095680,0,0,
D,48392982,1,58,80000008,80003072,19005440,33423360,19005440,33423360,0,0,
D,48432409,1,57,80000008,80003072,18677760,33751040,18677760,33751040,0,0,
D,49114645,1,56,80000008,80003072,18350080,34078720,18350080,34078720,0,0,
D,49241549,1,55,80000008,80003072,18022400,34406400,18022400,34406400,0,0,
D,49283387,1,54,80000008,80003072,17694720,34734080,17694720,34734080,0,0,
D,49369540,1,53,80000008,80003072,17367040,35061760,17367040,35061760,0,0,
D,49466111,1,52,80000008,80003072,17039360,35389440,17039360,35389440,0,0,
D,49526730,1,51,80000008,80003072,16711680,35717120,16711680,35717120,0,0,
D,49611134,1,50,80000008,80003072,16384000,36044800,16384000,36044800,0,0,
D,49738136,1,49,80000008,80003072,16056320,36372480,16056320,36372480,0,0,
D,49786491,1,48,80000008,80003072,15728640,36700160,15728640,36700160,0,0,
D,49925511,1,47,80000008,80003072,15400960,37027840,15400960,37027840,0,0,
D,50447886,1,46,80000008,80003072,15073280,37355520,15073280,37355520,0,0,
D,50720850,1,45,80000008,80003072,14745600,37683200,14745600,37683200,0,0,
D,50732191,1,44,80000008,80003072,14417920,38010880,14417920,38010880,0,0,
D,50736297,1,43,80000008,80003072,14090240,38338560,14090240,38338560,0,0,
D,50736298,1,42,80000008,80003072,13762560,38666240,13762560,38666240,0,0,
D,50917517,1,41,80000008,80003072,13434880,38993920,13434880,38993920,0,0,
D,51095648,1,40,80000008,80003072,13107200,39321600,13107200,39321600,0,0,
D,51144840,1,39,80000008,80003072,12779520,39649280,12779520,39649280,0,0,
D,51169983,1,38,80000008,80003072,12451840,39976960,12451840,39976960,0,0,
D,51249836,1,37,80000008,80003072,12124160,40304640,12124160,40304640,0,0,
D,51314960,1,36,80000008,80003072,11796480,40632320,11796480,40632320,0,0,
D,51371851,1,35,80000008,80003072,11468800,40960000,11468800,40960000,0,0,
D,51417642,1,34,80000008,80003072,11141120,41287680,11141120,41287680,0,0,
D,51421973,1,33,80000008,80003072,10813440,41615360,10813440,41615360,0,0,
D,52151436,1,32,80000008,80003072,10485760,41943040,10485760,41943040,0,0,
E,52206350,1,32,80000008,80003072,10485760,41943040,10485760,41943040,0,0,
M,52272612,1,33,80000008,80003072,10813440,41943040,10813440,41943040,0,0,
M,52401606,1,34,80000008,80003072,11141120,41943040,11141120,41943040,0,0,
M,52528215,1,35,80000008,80003072,11468800,41943040,11468800,41943040,0,0,
M,52657528,1,36,80000008,80003072,11796480,41943040,11796480,41943040,0,0,
M,52778107,1,37,80000008,80003072,12124160,41943040,12124160,41943040,0,0,
M,52897297,1,38,80000008,80003072,12451840,41943040,12451840,41943040,0,0,
M,53011154,1,39,80000008,80003072,12779520,41943040,12779520,41943040,0,0,
M,53130834,1,40,80000008,80003072,13107200,41943040,13107200,41943040,0,0,
M,53249993,1,41,80000008,80003072,13434880,41943040,13434880,41943040,0,0,
M,53362905,1,42,80000008,80003072,13762560,41943040,13762560,41943040,0,0,
M,53485177,1,43,80000008,80003072,14090240,41943040,14090240,41943040,0,0,
M,53595596,1,44,80000008,80003072,14417920,41943040,14417920,41943040,0,0,
M,53707519,1,45,80000008,80003072,14745600,41943040,14745600,41943040,0,0,
M,53827077,1,46,80000008,80003072,15073280,41943040,15073280,41943040,0,0,
M,53970221,1,47,80000008,80003072,15400960,41943040,15400960,41943040,0,0,
